OID_	year_of_aff	BA	Grids	agb	Afforest	Deforest	2020pnf	Disturb
4848725	1.9990001	0.653080134	730	5.7	2002	0	2	0
4848726	1.9990001	0.58756714	730	16.4	2002	0	-9999	0
4848727	1.9990001	0.516348904	730	14.5	2002	0	2	0
4848728	1.9990001	0.595977166	730	53.5	2003	0	2	0
4848729	1.9990001	0.502492312	730	20.2	2002	0	2	0
4848730	1.9990001	0.701510405	730	23	2002	0	2	0
4848731	1.9990001	0.652174024	730	27.9	2002	0	2	0
4848732	1.9990001	0.625358726	730	17.7	2002	0	33	0
4848733	1.9990001	0.592171291	730	41.3	2003	0	2	0
4848734	1.9990001	0.514065917	730	23.5	2002	0	2	0
4848735	1.9990001	0.561162221	730	23.8	1992	0	2	0
4848736	1.9990001	0.823249301	730	1.4	2002	0	33	0
4848737	1.9990001	0.579734814	730	4.6	2002	0	33	0
4848738	1.9990001	0.584406474	730	44.3	2002	0	2	0
4848739	1.9990001	0.565744764	730	39.5	2002	0	33	0
4848740	1.9990001	0.547468727	730	29	2002	0	-9999	0
4848741	1.9990001	0.756390141	730	39	2002	0	33	0
4848742	1.9990001	0.553835303	730	15.8	2002	0	-9999	0
4848743	1.9990001	0.505534878	730	37.3	1991	0	-9999	0
4848744	1.9990001	0.502487178	730	1	2001	0	2	0
4848745	1.9990001	0.626185096	730	45.5	2002	0	33	0
4848746	1.9990001	0.59044037	730	26.9	2002	0	2	0
4848747	1.9990001	0.537261881	730	60.6	2002	0	2	0
4848749	1.9990001	0.674803547	730	5.1	2002	0	-9999	0
4848751	1.9990001	0.620711977	730	5.3	2002	0	2	0
4848753	1.9990001	0.671739468	730	7.9	2018	0	2	0
4848754	1.9990001	0.621740659	730	27.2	2002	0	2	0
4848756	2	0.716670854	730	200.8	2003	0	2	0
4848758	2	0.507681557	730	105.2	2002	0	2	0
4848760	2	0.534519526	730	64.1	2003	0	2	0
4848762	2	0.561278383	730	28.8	2006	0	-9999	0
4848763	2	0.50270343	730	9.3	2003	0	2	0
4848765	2	0.619824713	730	49.5	2003	0	2	0
4848766	2	0.602984529	730	12.1	2004	0	2	0
4848767	2	0.588540331	730	37.3	2003	0	2	0
4848768	2	0.662898709	730	12	2002	0	2	0
4848771	2	0.538457331	730	43	2003	0	-9999	0
4848772	2	0.58088228	730	7.8	2003	0	2	0
4848773	2	0.678760442	730	8.2	2003	0	2	0
4848774	2	0.610689635	730	96	2003	0	2	0
4848776	2	0.670154559	730	17.1	2003	0	2	0
4848777	2	0.57737639	730	38.9	2003	0	2	0
4848778	2	0.573537687	730	5.2	2004	0	2	0
4848779	2	0.650508246	730	29.3	2003	0	-9999	0
4848782	2	0.706432163	730	8.4	2003	0	2	0
4848786	2	0.526459577	730	7.5	2003	0	2	0
4848787	2	0.599355377	730	32.6	2003	0	33	0
4848788	2	0.508146014	730	21	2004	0	2	0
