OID_,VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90,PCT95,PCT100
36,37,1793129.000000000000000,0.130230174254000,1,3798,3797,363.596000622000020,376.318655400000011,651974533.000000000000000,2374,100,2248,204,886,1151,3798
37,38,2024887.000000000000000,0.147062139341000,1,4109,4108,1197.183436900000061,689.054180490000022,2424161178.000000000000000,3194,121,2892,1139,2223,2424,4109
38,39,526090.000000000000000,0.038208512813800,1,2930,2929,729.661879146000047,534.286981728999990,383867818.000000000000000,2324,111,1956,634,1520,1709,2930
39,40,1356357.000000000000000,0.098508589432600,1,3703,3702,609.689104712000017,569.211963620000006,826956085.000000000000000,2564,84,2645,425,1458,1665,3703
40,41,499402.000000000000000,0.036270234591500,1,3604,3603,509.441876483999977,468.812809006999998,254416292.000000000000000,2176,116,1777,368,1200,1468,3604
41,42,851244.000000000000000,0.061823580151100,1,2831,2830,299.159655751000003,315.341747673999976,254657862.000000000000000,1866,81,2494,169,706,979,2831
42,43,68868.000000000000000,0.005001699063780,1,1452,1451,134.211709356999989,125.293051226000003,9242892.000000000000000,636,56,395,98,295,399,1452
43,44,419076.000000000000000,0.030436371563700,1,1427,1426,111.566093023999997,78.394559663199999,46754672.000000000000000,647,94,652,101,192,236,1427
44,45,1341.000000000000000,0.000097393251503,1,1575,1574,155.221476510000002,183.310206434999998,208152.000000000000000,297,101,1,106,264,402,1575
45,46,131589.000000000000000,0.009556957921000,1,2183,2182,391.832751977999976,281.286389628999984,51560880.000000000000000,1425,110,923,391,701,852,2183
46,47,2314316.000000000000000,0.168082595262000,1,3744,3743,472.724069228000019,500.330863358999977,1094032877.000000000000000,2586,78,2755,208,1225,1486,3744
47,48,401057.000000000000000,0.029127699677900,1,2784,2783,435.041545217000021,372.767208137000011,174476457.000000000000000,1735,84,1434,338,992,1185,2784
48,49,228779.000000000000000,0.016615608266700,1,2736,2735,197.119932336000005,182.644458874999998,45096901.000000000000000,1059,95,627,134,420,554,2736
49,50,222626.000000000000000,0.016168732296200,1,1533,1532,159.736603091999996,131.919394253999997,35561521.000000000000000,765,99,514,116,351,441,1533
50,51,251932.000000000000000,0.018297148872300,1,1698,1697,130.189487640000010,101.276986137999998,32798898.000000000000000,671,74,512,107,249,326,1698
51,52,274003.000000000000000,0.019900106705200,1,1464,1463,121.224767611999994,96.542063506100007,33215950.000000000000000,687,113,583,102,216,294,1464
52,53,3354918.000000000000000,0.243658741646000,1,4195,4194,306.037868288000027,375.193947130000026,1026731953.000000000000000,3037,44,2131,152,790,1003,4195
53,54,2255800.000000000000000,0.163832734333000,1,5213,5212,1542.389743769999995,921.741146075999950,3479322784.000000000000000,4421,2438,4268,1310,2777,3289,5213
54,55,52348.000000000000000,0.003801895547870,1,1958,1957,307.492702682000015,287.510219292999977,16096628.000000000000000,1180,61,645,187,623,781,1958
55,56,759493.000000000000000,0.055159949861200,1,3568,3567,814.013672279000048,605.627813009999954,618237686.000000000000000,2590,112,2781,758,1653,1860,3568
56,57,403986.000000000000000,0.029340425131800,1,2818,2817,469.643101494000007,410.109210780000012,189729238.000000000000000,1864,102,1669,348,1095,1290,2818
57,58,429697.000000000000000,0.031207746451300,1,1983,1982,167.537315830000011,146.845496249999997,71990282.000000000000000,919,97,735,117,386,484,1983
58,59,455251.000000000000000,0.033063665279700,1,2299,2298,170.836371584000005,168.497090648000011,77773429.000000000000000,1070,102,919,115,399,527,2299
59,60,504328.000000000000000,0.036627996826300,1,2215,2214,120.607291286999995,116.058849972000004,60825634.000000000000000,934,75,598,96,217,303,2215
60,61,4282088.000000000000000,0.310996624566000,1,4188,4187,500.115845353999987,499.318669009000018,2141540060.000000000000000,3292,35,3151,349,1116,1456,4188
61,62,1086863.000000000000000,0.078935959365100,1,4395,4394,1337.446352480000087,709.228925404000051,1453620955.000000000000000,3564,957,3077,1230,2403,2516,4395
62,63,12787.000000000000000,0.000928685687525,1,2756,2755,380.771017439999980,312.318464050999978,4868919.000000000000000,927,88,1,352,712,985,2756
63,64,577950.000000000000000,0.041974966223900,1,3111,3110,716.701287309000008,484.715849328999980,414217509.000000000000000,2131,85,2082,664,1403,1564,3111
